year_no,week_no,year_week,swe,nor
2013,48,2013-48,13.5,4.9
2013,49,2013-49,13.5,4.9
2013,50,2013-50,13.5,4.9
2013,51,2013-51,13.5,4.9
2013,52,2013-52,13.5,4.9
2014,1,2014-01,14.2,6.9
2014,2,2014-02,14.2,6.9
2014,3,2014-03,14.2,6.9
2014,4,2014-04,14.2,6.9
2014,5,2014-05,14.2,6.9
2014,6,2014-06,14.2,6.9
2014,7,2014-07,14.2,6.9
2014,8,2014-08,14.2,6.9
2014,9,2014-09,14.2,6.9
2014,10,2014-10,14.2,6.9
2014,11,2014-11,14.2,6.9
2014,12,2014-12,14.2,6.9
2014,13,2014-13,14.2,6.9
2014,14,2014-14,14.2,6.9
2014,15,2014-15,14.2,6.9
2014,16,2014-16,14.2,6.9
2014,17,2014-17,14.2,6.9
2014,18,2014-18,14.2,6.9
2014,19,2014-19,14.2,6.9
2014,20,2014-20,14.2,6.9
2014,21,2014-21,14.2,6.9
2014,22,2014-22,14.2,6.9
2014,23,2014-23,14.2,6.9
2014,24,2014-24,14.2,6.9
2014,25,2014-25,14.2,6.9
2014,26,2014-26,14.2,6.9
2014,27,2014-27,14.2,6.9
2014,28,2014-28,14.2,6.9
2014,29,2014-29,14.2,6.9
2014,30,2014-30,14.2,6.9
2014,31,2014-31,14.2,6.9
2014,32,2014-32,14.2,6.9
2014,33,2014-33,14.2,6.9
2014,34,2014-34,14.2,6.9
2014,35,2014-35,14.2,6.9
2014,36,2014-36,14.2,6.9
2014,37,2014-37,14.2,6.9
2014,38,2014-38,14.2,6.9
2014,39,2014-39,14.2,6.9
2014,40,2014-40,14.2,6.9
2014,41,2014-41,14.2,6.9
2014,42,2014-42,14.2,6.9
2014,43,2014-43,14.2,6.9
2014,44,2014-44,14.2,6.9
2014,45,2014-45,14.2,6.9
2014,46,2014-46,14.2,6.9
2014,47,2014-47,14.2,6.9
2014,48,2014-48,14.2,6.9
2014,49,2014-49,14.2,6.9
2014,50,2014-50,14.2,6.9
2014,51,2014-51,14.2,6.9
2014,52,2014-52,14.2,6.9
2015,1,2015-01,14.3,8.8
2015,2,2015-02,14.3,8.8
2015,3,2015-03,14.3,8.8
2015,4,2015-04,14.3,8.8
2015,5,2015-05,14.3,8.8
2015,6,2015-06,14.3,8.8
2015,7,2015-07,14.3,8.8
2015,8,2015-08,14.3,8.8
2015,9,2015-09,14.3,8.8
2015,10,2015-10,14.3,8.8
2015,11,2015-11,14.3,8.8
2015,12,2015-12,14.3,8.8
2015,13,2015-13,14.3,8.8
2015,14,2015-14,14.3,8.8
2015,15,2015-15,14.3,8.8
2015,16,2015-16,14.3,8.8
2015,17,2015-17,14.3,8.8
2015,18,2015-18,14.3,8.8
2015,19,2015-19,14.3,8.8
2015,20,2015-20,14.3,8.8
2015,21,2015-21,14.3,8.8
2015,22,2015-22,14.3,8.8
2015,23,2015-23,14.3,8.8
2015,24,2015-24,14.3,8.8
2015,25,2015-25,14.3,8.8
2015,26,2015-26,14.3,8.8
2015,27,2015-27,14.3,8.8
2015,28,2015-28,14.3,8.8
2015,29,2015-29,14.3,8.8
2015,30,2015-30,14.3,8.8
2015,31,2015-31,14.3,8.8
2015,32,2015-32,14.3,8.8
2015,33,2015-33,14.3,8.8
2015,34,2015-34,14.3,8.8
2015,35,2015-35,14.3,8.8
2015,36,2015-36,14.3,8.8
2015,37,2015-37,14.3,8.8
2015,38,2015-38,14.3,8.8
2015,39,2015-39,14.3,8.8
2015,40,2015-40,14.3,8.8
2015,41,2015-41,14.3,8.8
2015,42,2015-42,14.3,8.8
2015,43,2015-43,14.3,8.8
2015,44,2015-44,14.3,8.8
2015,45,2015-45,14.3,8.8
2015,46,2015-46,14.3,8.8
2015,47,2015-47,14.3,8.8
2015,48,2015-48,14.3,8.8
2015,49,2015-49,14.3,8.8
2015,50,2015-50,14.3,8.8
2015,51,2015-51,14.3,8.8
2015,52,2015-52,14.3,8.8
2015,53,2015-53,14.3,8.8
2016,1,2016-01,23.1,11.9
2016,2,2016-02,23.1,11.9
2016,3,2016-03,23.1,11.9
2016,4,2016-04,23.1,11.9
2016,5,2016-05,23.1,11.9
2016,6,2016-06,23.1,11.9
2016,7,2016-07,23.1,11.9
2016,8,2016-08,23.1,11.9
2016,9,2016-09,23.1,11.9
2016,10,2016-10,23.1,11.9
2016,11,2016-11,23.1,11.9
2016,12,2016-12,23.1,11.9
2016,13,2016-13,23.1,11.9
2016,14,2016-14,23.1,11.9
2016,15,2016-15,23.1,11.9
2016,16,2016-16,23.1,11.9
2016,17,2016-17,23.1,11.9
2016,18,2016-18,23.1,11.9
2016,19,2016-19,23.1,11.9
2016,20,2016-20,23.1,11.9
2016,21,2016-21,23.1,11.9
2016,22,2016-22,23.1,11.9
2016,23,2016-23,23.1,11.9
2016,24,2016-24,23.1,11.9
2016,25,2016-25,23.1,11.9
2016,26,2016-26,23.1,11.9
2016,27,2016-27,23.1,11.9
2016,28,2016-28,23.1,11.9
2016,29,2016-29,23.1,11.9
2016,30,2016-30,23.1,11.9
2016,31,2016-31,23.1,11.9
2016,32,2016-32,23.1,11.9
2016,33,2016-33,23.1,11.9
2016,34,2016-34,23.1,11.9
2016,35,2016-35,23.1,11.9
2016,36,2016-36,23.1,11.9
2016,37,2016-37,23.1,11.9
2016,38,2016-38,23.1,11.9
2016,39,2016-39,23.1,11.9
2016,40,2016-40,23.1,11.9
2016,41,2016-41,23.1,11.9
2016,42,2016-42,23.1,11.9
2016,43,2016-43,23.1,11.9
2016,44,2016-44,23.1,11.9
2016,45,2016-45,23.1,11.9
2016,46,2016-46,23.1,11.9
2016,47,2016-47,23.1,11.9
2016,48,2016-48,23.1,11.9
2016,49,2016-49,23.1,11.9
2016,50,2016-50,23.1,11.9
2016,51,2016-51,23.1,11.9
2016,52,2016-52,23.1,11.9
2017,1,2017-01,24.7,13.7
2017,2,2017-02,24.7,13.7
2017,3,2017-03,24.7,13.7
2017,4,2017-04,24.7,13.7
2017,5,2017-05,24.7,13.7
2017,6,2017-06,24.7,13.7
2017,7,2017-07,24.7,13.7
2017,8,2017-08,24.7,13.7
2017,9,2017-09,24.7,13.7
2017,10,2017-10,24.7,13.7
2017,11,2017-11,24.7,13.7
2017,12,2017-12,24.7,13.7
2017,13,2017-13,24.7,13.7
2017,14,2017-14,24.7,13.7
2017,15,2017-15,24.7,13.7
2017,16,2017-16,24.7,13.7
2017,17,2017-17,24.7,13.7
2017,18,2017-18,24.7,13.7
2017,19,2017-19,24.7,13.7
2017,20,2017-20,24.7,13.7
2017,21,2017-21,24.7,13.7
2017,22,2017-22,24.7,13.7
2017,23,2017-23,24.7,13.7
2017,24,2017-24,24.7,13.7
2017,25,2017-25,24.7,13.7
2017,26,2017-26,24.7,13.7
2017,27,2017-27,24.7,13.7
2017,28,2017-28,24.7,13.7
2017,29,2017-29,24.7,13.7
2017,30,2017-30,24.7,13.7
2017,31,2017-31,24.7,13.7
2017,32,2017-32,24.7,13.7
2017,33,2017-33,24.7,13.7
2017,34,2017-34,24.7,13.7
2017,35,2017-35,24.7,13.7
2017,36,2017-36,24.7,13.7
2017,37,2017-37,24.7,13.7
2017,38,2017-38,24.7,13.7
2017,39,2017-39,24.7,13.7
2017,40,2017-40,24.7,13.7
2017,41,2017-41,24.7,13.7
2017,42,2017-42,24.7,13.7
2017,43,2017-43,24.7,13.7
2017,44,2017-44,24.7,13.7
2017,45,2017-45,24.7,13.7
2017,46,2017-46,24.7,13.7
2017,47,2017-47,24.7,13.7
2017,48,2017-48,24.7,13.7
2017,49,2017-49,24.7,13.7
2017,50,2017-50,24.7,13.7
2017,51,2017-51,24.7,13.7
2017,52,2017-52,24.7,13.7
2018,1,2018-01,29.9,15.3
2018,2,2018-02,29.9,15.3
2018,3,2018-03,29.9,15.3
2018,4,2018-04,29.9,15.3
2018,5,2018-05,29.9,15.3
2018,6,2018-06,29.9,15.3
2018,7,2018-07,29.9,15.3
2018,8,2018-08,29.9,15.3
2018,9,2018-09,29.9,15.3
2018,10,2018-10,29.9,15.3
2018,11,2018-11,29.9,15.3
2018,12,2018-12,29.9,15.3
2018,13,2018-13,29.9,15.3
2018,14,2018-14,29.9,15.3
2018,15,2018-15,29.9,15.3
2018,16,2018-16,29.9,15.3
2018,17,2018-17,29.9,15.3
2018,18,2018-18,29.9,15.3
2018,19,2018-19,29.9,15.3
2018,20,2018-20,29.9,15.3
2018,21,2018-21,29.9,15.3
2018,22,2018-22,29.9,15.3
2018,23,2018-23,29.9,15.3
2018,24,2018-24,29.9,15.3
2018,25,2018-25,29.9,15.3
2018,26,2018-26,29.9,15.3
2018,27,2018-27,29.9,15.3
2018,28,2018-28,29.9,15.3
2018,29,2018-29,29.9,15.3
2018,30,2018-30,29.9,15.3
2018,31,2018-31,29.9,15.3
2018,32,2018-32,29.9,15.3
2018,33,2018-33,29.9,15.3
2018,34,2018-34,29.9,15.3
2018,35,2018-35,29.9,15.3
2018,36,2018-36,29.9,15.3
2018,37,2018-37,29.9,15.3
2018,38,2018-38,29.9,15.3
2018,39,2018-39,29.9,15.3
2018,40,2018-40,29.9,15.3
2018,41,2018-41,29.9,15.3
2018,42,2018-42,29.9,15.3
2018,43,2018-43,29.9,15.3
2018,44,2018-44,29.9,15.3
2018,45,2018-45,29.9,15.3
2018,46,2018-46,29.9,15.3
2018,47,2018-47,29.9,15.3
2018,48,2018-48,29.9,15.3
2018,49,2018-49,29.9,15.3
2018,50,2018-50,29.9,15.3
2018,51,2018-51,29.9,15.3
2018,52,2018-52,29.9,15.3
